air_temperature_K,process_temperature_K,rotational_speed_rpm,torque_Nm,tool_wear_min,machine_failure,failure_type
298.7316112007285,308.96575902576063,1287.55259894333,51.09933554258646,184,0,None
301.7800011520484,310.32775883796546,1622.3639515866507,46.768801137764584,152,0,None
301.93496172319624,311.67064079462125,1583.1581397891775,29.970315789198416,116,0,None
299.2035045681434,308.04530556070165,1584.5323851327792,38.05622761756874,77,0,None
299.34290437182375,308.79423967627133,1851.185797868134,60.918871212721555,251,0,None
299.7033075113708,307.945767284655,1347.7253397878726,64.36806126269073,73,0,None
301.06232284778764,311.6528016630171,1278.8488862012223,54.70873821801592,102,0,None
304.1234256806668,315.3915763543815,1481.989732759793,50.95010455464177,31,0,None
300.3121125778392,311.32791412471823,1648.0876190923816,27.479360679994922,82,0,None
303.17305531967,311.8078582444109,1590.7774319205646,44.061343276527346,229,0,None
299.6537043823217,308.0617103323239,1380.53378612723,40.48127951091961,114,0,None
299.1773617705057,307.8370965496189,1631.0695279043293,39.15780907972515,30,0,None
299.29738248938304,309.0340033513341,1342.3052244296364,25.798691472336845,152,0,None
301.4869901276225,310.6303954433028,1614.1781189147466,38.672755687462214,11,0,None
298.1293054229744,307.49419962179894,1339.1305708816574,31.986268293442507,167,0,None
300.51119252164995,311.92711783856004,1541.399385759229,47.2079329741097,31,0,None
303.8328042973275,313.7310057570675,1650.0238276828525,42.39097844557141,159,0,None
301.46506088901265,311.2702655410218,1468.9982771549364,45.47156683869579,196,0,None
299.6314741481639,311.11379174424997,1670.2165805382388,54.6973501524229,204,0,None
302.889465290092,313.67340446361743,1219.9558117922043,48.913375786147036,168,0,None
301.1356108402693,309.51518841013706,1565.165455301415,46.79616495663228,88,0,None
295.14235492193905,304.08084132693534,1396.1199944819966,34.72344812075002,176,0,None
297.5459588722029,307.32585344179967,1452.8218814259744,36.28020874318773,167,0,None
302.2852075211937,313.2744450797386,1761.1782046160085,49.99872454462169,150,0,None
298.7929479785411,308.7567556418516,1281.6381844102984,41.73631141122716,79,0,None
300.6040924446381,309.92674061939334,1688.8440787431682,35.04311018975694,32,0,None
297.67073812157065,309.9446893333494,1541.8436990942087,31.037228471693993,78,0,None
302.90454184172074,313.2816756266664,1651.2272855069323,46.50976129560165,92,0,None
298.6082765874704,309.1481863028165,1283.3600974555266,40.03773788422501,227,0,None
298.49075611706917,307.8133234729158,1363.3907812367918,46.557837963062205,167,0,None
299.7622076399404,311.6630516891184,1362.8375296158945,31.716183611549724,14,0,None
297.9618739747744,307.65598843094364,1325.9350256101397,29.938152926235837,127,0,None
302.36507377957656,314.12173910881916,1601.1800564005653,38.8054972930495,196,0,None
299.1787761744714,310.0565699931967,1401.386013803654,48.49410957664952,21,0,None
305.0649641534918,314.69201518208513,1657.9632467826682,44.71174827624062,176,0,None
302.31411705801685,312.73426832822156,1797.2268819613694,49.587746122190225,41,0,None
302.2222975520935,310.5744890458224,1355.645072913561,54.47746814316191,0,0,None
299.07807702543073,308.5776266435351,1096.5559860215244,50.96091748152513,52,0,None
299.3459353533047,308.58613452516676,1260.842650332221,28.73641826916999,236,0,None
299.0660913967875,307.18744446187407,1544.5835557970495,19.429238675318356,68,0,None
300.9106848110833,311.06312241716,1583.0659572745938,37.965897578084466,174,1,Random Failure
298.32786788714793,307.3621466909212,1684.2391945860818,26.350019056862372,19,0,None
297.8301982101749,308.1449117967668,1583.5762883655711,57.132741310851515,242,0,None
304.390871251134,313.9082079139309,1467.6160835084513,34.93324378024769,201,0,None
302.3947177777811,312.69467050451203,1395.2264368828862,16.887606606033728,35,0,None
299.11638820225215,308.61627855264214,1483.8187172306846,35.759265610158835,255,0,None
298.6692669070461,308.206110501229,1361.643737681773,39.720099257686066,32,0,None
295.7765027596756,306.3902602720096,1595.643797363468,47.68847003076036,195,0,None
298.89790543301643,309.9008063145445,1534.2648961247166,37.109320821578976,143,0,None
299.2867402388149,309.36448353226234,1784.4913847758367,45.53029905118895,73,0,None
299.3318779228413,310.4659115901311,1532.8069528223502,29.728985018699667,56,0,None
302.4482151568467,313.42279398255135,1480.9040550209043,39.087787829246174,228,0,None
302.79452470539644,312.2291051075564,1815.312750726361,41.904100212965254,74,0,None
298.7391226843523,307.1583973850603,1600.2995507290607,47.02426614125247,134,0,None
300.37887850396555,308.68374485253446,1585.4526641660486,44.1664567187533,137,0,None
295.0066141341389,305.2126272658512,1262.079794495464,51.67114156812581,169,0,None
302.66631767121436,312.86889248286593,1427.9358121956413,38.922506158869865,22,0,None
301.8059196120449,312.2532589880391,1850.5862579525606,52.77556567620444,174,0,None
302.3812947888528,310.6759431309803,1523.7968532754655,30.802129182379836,15,0,None
